"State","CIP","Education level","Population size","ACS n-size","Coverage level","Median"
"MD","52","Bachelor's degree",8321,385,"100.0%",41415.945
"MD","19","Bachelor's degree",10426,501,"100.0%",51572.6
"MD","24","Bachelor's degree",11006,521,"100.0%",78361.777
"MD","61","Bachelor's degree",11227,515,"100.0%",61618.845
"MD","41","Bachelor's degree",3865,185,"100.0%",48305.205
"MD","33","Bachelor's degree",4396,215,"100.0%",42184.24
"MD","56","Bachelor's degree",527,26,"100.0%",75632.9
"MD","62","Bachelor's degree",35640,1580,"100.0%",61586.79
"MD","21","Bachelor's degree",12015,523,"100.0%",68549.39
"MD","53","Bachelor's degree",6316,268,"100.0%",54023.5
"MD","55","Bachelor's degree",12831,608,"100.0%",54547.83
"MD","36","Bachelor's degree",6260,316,"100.0%",43218.8
"MD","23","Bachelor's degree",7073,351,"100.0%",45084.858
"MD","40","Bachelor's degree",1212,60,"100.0%",48305.205
"MD","37","Bachelor's degree",1989,96,"100.0%",66012.928
"MD","13","Bachelor's degree",1552,88,"100.0%",47457.27
"MD","25","Bachelor's degree",841,31,"100.0%",59425.85
"MD","60","Bachelor's degree",9329,485,"100.0%",42937.96
"MD","48","Bachelor's degree",828,38,"100.0%",39020.422
"MD","50","Bachelor's degree",2537,123,"100.0%",52730.3
"MD","34","Bachelor's degree",1290,63,"100.0%",56729.86
"MD","49","Bachelor's degree",881,44,"100.0%",40405.8
"MD","26","Bachelor's degree",1521,71,"100.0%",48621.15
"MD","11","Bachelor's degree",1018,43,"100.0%",49378.654
"MD","64","Bachelor's degree",2932,158,"100.0%",52527.54
"MD","20","Bachelor's degree",647,31,"100.0%",41258.08
"MD","54","Bachelor's degree",1483,70,"100.0%",48621.15
"MD","15","Bachelor's degree",801,39,"100.0%",47457.27
"MD","59","Bachelor's degree",318,16,"100.0%",80150.056
"MD","51","Bachelor's degree",27,2,"100.0%",81035.25
"MD","29","Bachelor's degree",1233,60,"100.0%",41258.08
"MD","14","Bachelor's degree",1019,52,"100.0%",63276.36
"MD","32","Bachelor's degree",285,17,"100.0%",45348.058
"MD","38","Bachelor's degree",18,1,"100.0%",40039.6477
"MD","22","Bachelor's degree",258,10,"100.0%",30304.35
"MD","57","Bachelor's degree",15,2,"100.0%",79095.45
"MD","35","Bachelor's degree",137,5,"100.0%",12881.388
"MD","All","Bachelor's degree",162074,7599,"100.0%",54023.5
"FL","52","Bachelor's degree",20430,918,"100.0%",36911.21
"FL","19","Bachelor's degree",25702,1183,"100.0%",40576.3722
"FL","24","Bachelor's degree",30454,1325,"100.0%",60113.144
"FL","61","Bachelor's degree",36504,1489,"100.0%",45456.525
"FL","41","Bachelor's degree",6923,328,"100.0%",40405.8
"FL","33","Bachelor's degree",8146,393,"100.0%",37754.8948
"FL","56","Bachelor's degree",2544,100,"100.0%",75632.9
"FL","62","Bachelor's degree",115464,4853,"100.0%",45456.525
"FL","21","Bachelor's degree",17325,751,"100.0%",53635.504
"FL","53","Bachelor's degree",16745,705,"100.0%",39395.655
"FL","55","Bachelor's degree",26511,1250,"100.0%",42184.24
"FL","36","Bachelor's degree",14545,649,"100.0%",36365.22
"FL","23","Bachelor's degree",32555,1493,"100.0%",40405.8
"FL","40","Bachelor's degree",4235,199,"100.0%",34575.04
"FL","37","Bachelor's degree",2020,92,"100.0%",42184.24
"FL","13","Bachelor's degree",2598,122,"100.0%",40405.8
"FL","25","Bachelor's degree",1734,72,"100.0%",48305.205
"FL","60","Bachelor's degree",23469,1078,"100.0%",33220.089
"FL","48","Bachelor's degree",1543,75,"100.0%",28474.362
"FL","50","Bachelor's degree",7985,328,"100.0%",40405.8
"FL","34","Bachelor's degree",4947,185,"100.0%",37816.45
"FL","49","Bachelor's degree",1767,82,"100.0%",38385.51
"FL","26","Bachelor's degree",2314,118,"100.0%",31638.18
"FL","11","Bachelor's degree",2548,128,"100.0%",31344.7108
"FL","64","Bachelor's degree",5206,248,"100.0%",36389.9211
"FL","20","Bachelor's degree",2052,98,"100.0%",37570.715
"FL","54","Bachelor's degree",3651,160,"100.0%",37132.272
"FL","15","Bachelor's degree",807,40,"100.0%",31975.012
"FL","59","Bachelor's degree",1927,100,"100.0%",60608.7
"FL","51","Bachelor's degree",96,3,"100.0%",35355.075
"FL","29","Bachelor's degree",2158,98,"100.0%",37570.715
"FL","14","Bachelor's degree",2778,120,"100.0%",40791.062
"FL","32","Bachelor's degree",1563,73,"100.0%",45456.525
"FL","38","Bachelor's degree",112,4,"100.0%",37570.715
"FL","22","Bachelor's degree",1992,62,"100.0%",36100.82
"FL","57","Bachelor's degree",243,7,"100.0%",42184.24
"FL","35","Bachelor's degree",41,3,"100.0%",29172.69
"FL","All","Bachelor's degree",431634,18932,"100.0%",42184.24
"PA","52","Bachelor's degree",15935,673,"100.0%",37965.816
"PA","19","Bachelor's degree",25543,1047,"100.0%",44446.38
"PA","24","Bachelor's degree",24348,1002,"100.0%",73822.42
"PA","61","Bachelor's degree",26175,1133,"100.0%",54547.83
"PA","41","Bachelor's degree",6271,281,"100.0%",42937.96
"PA","33","Bachelor's degree",8922,387,"100.0%",39020.422
"PA","56","Bachelor's degree",921,45,"100.0%",65480.389
"PA","62","Bachelor's degree",82021,3518,"100.0%",53672.45
"PA","21","Bachelor's degree",15412,655,"100.0%",67044.38
"PA","53","Bachelor's degree",12944,578,"100.0%",43436.235
"PA","55","Bachelor's degree",19915,829,"100.0%",46415.34
"PA","36","Bachelor's degree",12578,544,"100.0%",46466.67
"PA","23","Bachelor's degree",24460,1175,"100.0%",39653.249
"PA","40","Bachelor's degree",3130,126,"100.0%",35856.604
"PA","37","Bachelor's degree",4415,178,"100.0%",52730.3
"PA","13","Bachelor's degree",3792,204,"100.0%",49497.105
